TestPhase,VehicleVariant,TestLifeMiles,MilesBeforeSystemAbort,ExactFailure,Pct20,Pct40,Pct50
DT,RV,11233,729,1,729,729,729
DT,RV,12017.9,784.9,1,784.9,784.9,784.9
DT,RV,12376,358.1,0,358.1,358.1,358.1
DT,RV,11366,11366,1,2273.2,4546.4,5683
DT,RV,11366,0,1,9092.8,6819.6,5683
OT,ATGMV,910,910,1,910,910,910
OT,ATGMV,1013,103,0,103,103,103
OT,ATGMV,1069,1069,0,1069,1069,1069
OT,ATGMV,79,79,1,79,79,79
OT,ATGMV,1115,1036,0,1036,1036,1036
OT,ATGMV,130,130,1,130,130,130
OT,ATGMV,953,823,1,823,823,823
OT,ATGMV,1158,205,0,205,205,205
OT,ATGMV,973,973,1,973,973,973
OT,ATGMV,1055,82,1,82,82,82
OT,ATGMV,1123,68,0,68,68,68
OT,ATGMV,670,670,1,670,670,670
OT,ATGMV,871,201,1,201,201,201
OT,ATGMV,1357,486,0,486,486,486
OT,ATGMV,8,8,1,8,8,8
OT,ATGMV,200,192,1,192,192,192
OT,ATGMV,762,562,1,562,562,562
OT,ATGMV,1124,362,0,362,362,362
OT,ATGMV,1181,1181,0,1181,1181,1181
OT,ATGMV,811,811,1,811,811,811
OT,ATGMV,1194,383,0,383,383,383
OT,CV,971,971,0,971,971,971
OT,CV,1169,1169,0,1169,1169,1169
OT,CV,1413,1413,0,1413,1413,1413
OT,CV,1948,1948,0,1948,1948,1948
OT,CV,1550,1550,0,1550,1550,1550
OT,CV,95,95,1,95,95,95
OT,CV,1443,1348,0,1348,1348,1348
OT,ESV,15,15,1,15,15,15
OT,ESV,33,18,1,18,18,18
OT,ESV,74,41,1,41,41,41
OT,ESV,297,223,1,223,223,223
OT,ESV,874,577,1,577,577,577
OT,ESV,1299,425,0,425,425,425
OT,ESV,285,285,1,285,285,285
OT,ESV,534,249,1,249,249,249
OT,ESV,865,331,1,331,331,331
OT,ESV,1097,232,1,232,232,232
OT,ESV,1215,118,0,118,118,118
OT,ESV,53,53,1,42.4,31.8,26.5
OT,ESV,53,0,1,10.6,21.2,26.5
OT,ESV,79,26,1,20.8,15.6,13
OT,ESV,79,0,1,5.2,10.4,13
OT,ESV,1257,1178,0,1178,1178,1178
OT,FSV,930,930,0,930,930,930
OT,FSV,115,115,1,115,115,115
OT,FSV,1376,1261,0,1261,1261,1261
OT,ICV,50,50,1,50,50,50
OT,ICV,160,110,1,110,110,110
OT,ICV,1154,994,0,994,994,994
OT,ICV,334,334,1,334,334,334
OT,ICV,1415,1081,0,1081,1081,1081
OT,ICV,376,376,1,376,376,376
OT,ICV,1544,1168,0,1168,1168,1168
OT,ICV,911,911,1,911,911,911
OT,ICV,1540,629,0,629,629,629
OT,ICV,1256,1256,0,1256,1256,1256
OT,ICV,232,232,1,232,232,232
OT,ICV,1091,859,1,859,859,859
OT,ICV,758,758,1,758,758,758
OT,ICV,884,126,1,126,126,126
OT,ICV,1506,622,0,622,622,622
OT,ICV,58,58,1,58,58,58
OT,ICV,415,357,1,357,357,357
OT,ICV,1055,640,0,640,640,640
OT,ICV,319,319,1,319,319,319
OT,ICV,1086,767,0,767,767,767
OT,ICV,27,27,1,27,27,27
OT,ICV,165,138,1,138,138,138
OT,ICV,744,579,1,579,579,579
OT,ICV,1374,630,0,630,630,630
OT,ICV,26,26,1,26,26,26
OT,ICV,128,102,1,102,102,102
OT,ICV,377,249,1,249,249,249
OT,ICV,745,368,1,368,368,368
OT,ICV,1231,486,0,486,486,486
OT,ICV,149,149,1,149,149,149
OT,ICV,789,640,1,640,640,640
OT,ICV,1104,315,0,315,315,315
OT,ICV,20,20,1,16,12,10
OT,ICV,20,0,1,4,8,10
