"variable","min","q025","q10","mean","sd","median","q90","q975","max"
"ATGMV",44.4139886930548,350.437726552578,544.765975090793,1.27351021859412e+34,4.02719291425576e+36,1163.59051963541,3090.45418373944,15963.8142202387,1.27351021859394e+39
"CV",44.4139886930548,350.437726552578,544.765975090793,1.27351021859412e+34,4.02719291425576e+36,1163.59051963541,3090.45418373944,15963.8142202387,1.27351021859394e+39
"ESV",44.4139886930548,350.437726552578,544.765975090793,1.27351021859412e+34,4.02719291425576e+36,1163.59051963541,3090.45418373944,15963.8142202387,1.27351021859394e+39
"FSV",44.4139886930548,350.437726552578,544.765975090793,1.27351021859412e+34,4.02719291425576e+36,1163.59051963541,3090.45418373944,15963.8142202387,1.27351021859394e+39
"ICV",44.4139886930548,350.437726552578,544.765975090793,1.27351021859412e+34,4.02719291425576e+36,1163.59051963541,3090.45418373944,15963.8142202387,1.27351021859394e+39
"MC",44.4139886930548,350.437726552578,544.765975090793,1.27351021859412e+34,4.02719291425576e+36,1163.59051963541,3090.45418373944,15963.8142202387,1.27351021859394e+39
"MEV",44.4139886930548,350.437726552578,544.765975090793,1.27351021859412e+34,4.02719291425576e+36,1163.59051963541,3090.45418373944,15963.8142202387,1.27351021859394e+39
"RV",44.4139886930548,350.437726552578,544.765975090793,1.27351021859412e+34,4.02719291425576e+36,1163.59051963541,3090.45418373944,15963.8142202387,1.27351021859394e+39
