"variable","min","q025","q10","mean","sd","median","q90","q975","max"
"ATGMV",519.084547346039,897.92228123787,1064.96929646403,1513.79046427116,389.320916455791,1464.13217559576,2026.1384909719,2412.63068305456,4495.35383311988
"CV",559.090350635624,1332.74281556242,1605.74603989845,2333.31985400222,622.258302311955,2259.83248496858,3153.91475367651,3755.10312297152,7581.41556698255
"ESV",193.463888877977,395.874302175211,474.969477034169,668.264785810287,172.821497216296,645.447905105334,886.63865376197,1074.32644867755,2706.13924100478
"FSV",315.506845199743,968.842550044333,1214.0239375394,1868.39131944344,561.112124697903,1799.4555166092,2604.55695218383,3165.6999331439,5807.91266841014
"ICV",599.351199520407,939.404642445077,1061.151194943,1355.62476542613,251.812425908832,1328.1592857719,1680.93129248999,1924.74612475808,3749.16439021408
"MC",284.792070392501,585.451542032928,737.839033871769,1239.36481532979,456.33496021264,1161.04332000889,1843.9617276636,2342.91985345002,5334.9260194754
"MEV",242.593663437111,679.500896682518,922.904687118324,1674.83559107791,654.651215293185,1579.58755102984,2544.71123934134,3211.99787825865,6464.49000542448
"RV",499.224379778043,1077.1623621122,1315.05084021801,1964.07269519504,561.158254619312,1891.53608429805,2705.75007382783,3258.45956311447,6152.5598359477
