"variable","mean","sd","median","min","q025","q10","q25","q75","q90","q975","max"
"ATGMV",1600.03241764137,941.50376183611,1361.27192582584,301.597678373191,619.120466389131,794.850971875318,1011.9167810272,1898.65476288732,2639.93218770922,4001.56419620254,21589.2783871429
"CV",120223.605484492,279699.779377678,35212.5029758945,748.253385366295,3580.6804241886,6909.49438748474,13927.7049191173,102473.235309284,284172.754149881,817936.745194372,9647740.90233766
"ESV",396.272215783806,202.821495582759,348.110077775057,83.3519573234361,165.020515884986,211.219273402143,265.205579745749,469.090715134796,631.747266196447,909.083790407236,3534.34167240626
"FSV",44029.4685961107,157631.390385874,7223.53667178828,69.8564826171661,666.263385181867,1303.05483989187,2700.91131331688,24352.9432548562,84822.8684453647,352371.405736981,7687269.54470887
"ICV",1375.65093848468,468.705604315976,1279.1190864176,504.861496779702,769.672161991731,904.278939020673,1057.08824097545,1582.6154258392,1950.88582268625,2541.90139016699,8320.81210812485
"MC",3306.51094312113,7169.91615325858,2006.24255017023,168.802857891491,554.731526154266,824.407326590828,1222.20070520077,3560.69165100526,6420.09142421193,13753.396631352,1538874.95097032
"MEV",286165.605889955,570592.406377502,71176.9590368479,134.281091569641,1640.66236481408,4952.87346335423,16283.8557629511,288455.360397941,797451.952407396,1907085.02162312,13312786.8974322
"RV",20030.0534732471,66362.0735372498,6679.69145336364,245.874411989575,1148.9500007638,1935.19478828656,3332.87230445339,15592.7027226435,38237.5832578514,120835.522035838,3546046.13973012
