"variable","mean","sd","median","min","q025","q10","q25","q75","q90","q975","max"
"ATGMV",5.51930051993267e+25,1.73748299245261e+28,1164.83910692365,42.8734955817357,353.946391340678,547.962468631695,788.054951153649,1768.37254165421,3089.79352052734,15767.1657100196,5.49435117570072e+30
"CV",5.51930051993267e+25,1.73748299245261e+28,1164.83910692365,42.8734955817357,353.946391340678,547.962468631695,788.054951153649,1768.37254165421,3089.79352052734,15767.1657100196,5.49435117570072e+30
"ESV",5.51930051993267e+25,1.73748299245261e+28,1164.83910692365,42.8734955817357,353.946391340678,547.962468631695,788.054951153649,1768.37254165421,3089.79352052734,15767.1657100196,5.49435117570072e+30
"FSV",5.51930051993267e+25,1.73748299245261e+28,1164.83910692365,42.8734955817357,353.946391340678,547.962468631695,788.054951153649,1768.37254165421,3089.79352052734,15767.1657100196,5.49435117570072e+30
"ICV",5.51930051993267e+25,1.73748299245261e+28,1164.83910692365,42.8734955817357,353.946391340678,547.962468631695,788.054951153649,1768.37254165421,3089.79352052734,15767.1657100196,5.49435117570072e+30
"MC",5.51930051993267e+25,1.73748299245261e+28,1164.83910692365,42.8734955817357,353.946391340678,547.962468631695,788.054951153649,1768.37254165421,3089.79352052734,15767.1657100196,5.49435117570072e+30
"MEV",5.51930051993267e+25,1.73748299245261e+28,1164.83910692365,42.8734955817357,353.946391340678,547.962468631695,788.054951153649,1768.37254165421,3089.79352052734,15767.1657100196,5.49435117570072e+30
"RV",5.51930051993267e+25,1.73748299245261e+28,1164.83910692365,42.8734955817357,353.946391340678,547.962468631695,788.054951153649,1768.37254165421,3089.79352052734,15767.1657100196,5.49435117570072e+30
