"variable","mean","sd","median","min","q025","q10","q25","q75","q90","q975","max"
"ATGMV",1721.20821138681,419.30586769505,1666.45314324768,674.710461523019,1056.54623933541,1235.34707945834,1423.32590993144,1962.19712765869,2276.50768399385,2682.42640626454,4538.31921751916
"CV",1903.13257862622,491.400128810621,1839.53890930398,602.704997929892,1128.63080897387,1332.71974094238,1551.82482710268,2185.58332782615,2551.42168138835,3036.68134617,5240.90285952414
"ESV",808.101317404839,175.740309627856,785.466602566621,327.268927368864,531.04067594957,605.730528315291,683.177512185408,907.91957555192,1038.13922185049,1213.2967530646,2136.19398583089
"FSV",1869.5773535153,486.437230088192,1806.51799568871,621.484241016596,1098.96626313374,1304.8199665973,1524.82249958942,2147.94192794731,2513.73005564661,2992.03865301683,5608.85199148298
"ICV",1572.19955802146,293.819981857055,1539.40097790708,716.299476712299,1090.91035315183,1226.58697812432,1364.45841391172,1744.02764149065,1958.38024797163,2239.44007085328,3544.42796577153
"MC",910.203168679704,369.551811032488,842.611430075024,166.90719329703,390.683447115774,507.7038551255,643.915018016757,1102.44018285978,1397.79414846707,1811.73798409725,4108.87474848653
"MEV",1245.73013802497,588.013660050768,1154.1297134692,56.2865409726852,375.07231669252,578.594235706363,815.685591875656,1573.38422746857,2031.84114475372,2639.66697430026,5437.09226331746
"RV",1822.24139317803,477.601196871542,1762.32917011814,571.545382188757,1067.3548435475,1268.13179792415,1481.51902068073,2095.58919829433,2451.49078740895,2932.13433376657,5088.78693953873
