"variable","mean","sd","median","min","q025","q10","q25","q75","q90","q975","max"
"ATGMV",1554.64204441443,410.160051449857,1505.5554261585,512.509592810252,898.706584338831,1071.70283575867,1258.94713291434,1798.35727423726,2099.90851072538,2485.22534811101,4721.99654513595
"CV",2498.59988402474,647.957889283574,2430.73360628739,746.264816903007,1428.28143611357,1724.81202234323,2033.83167932896,2890.10562696379,3363.12765603231,3947.05309816456,6910.80079123076
"ESV",634.421180860151,168.087781233539,615.045305321289,202.863101936807,361.622990400482,435.316192217465,513.493811882095,734.60682051948,857.643467816172,1013.6510209215,1669.9518735618
"FSV",2027.41030963425,599.843202235418,1963.59612519049,259.050563491787,1048.31905283944,1310.97253740709,1596.82953812135,2386.86129836473,2828.50574368367,3385.54176484397,6605.71211057002
"ICV",1363.51162784069,264.272575391206,1335.72369952905,626.952883626401,926.325731098234,1050.25285599245,1175.29263494562,1521.06410088936,1712.35693404703,1959.16671530301,3167.18770366057
"MC",1143.62922071747,399.769677756348,1085.61309775912,168.310783693125,539.234362672205,689.229491474755,855.174713096968,1366.83189066164,1672.05091781247,2088.52129815242,4259.51401110097
"MEV",1806.66050799557,798.039637540288,1673.4097005031,171.74836607413,648.359293246111,916.659644579232,1225.02364227251,2240.27028368001,2863.56048416348,3726.82964208825,7912.56754415776
"RV",2104.89847787849,588.733336109428,2038.53001381378,613.921916293717,1141.87965408197,1406.59137136658,1685.02091777968,2456.96559804495,2883.9733094583,3439.52408386319,5696.72764712918
