"variable","mean","median","q025","q05","q10","q25","q75","q90","q95","q975","p_thresh"
"beta",0.749622922592735,0.74913903654103,0.650825833751714,0.666809634601431,0.684737325328221,0.715135735529604,0.783704759644789,0.81482677838139,0.83390958138682,0.85033617361618,0
"eta.1",1358.50499690194,1292.4704020658,704.778854769866,774.801535541423,864.43444925289,1046.39941948105,1601.06782161119,1934.57796985407,2160.34261014913,2374.03946922742,0.7938
"eta.2",3540.98573415745,3360.7653506482,1586.34843634828,1791.49697937751,2059.95826367712,2605.07907013433,4278.86859199756,5263.78169352743,5913.26332650185,6506.97318687087,0.99907
"eta.3",490.875952350091,477.34278170004,283.64711537778,309.154216634246,340.86249204178,400.803057814185,566.001712805539,657.754297765369,718.147264171695,774.824829433068,0.00109
"eta.4",2527.34269254715,2347.68394326467,886.147800439413,1044.82110179854,1264.14169265159,1711.1853144565,3152.64868919442,4017.81777735986,4616.15586050347,5175.35995751965,0.95808
"eta.5",1135.64555406536,1114.80909564582,778.485783266874,822.285052117902,878.472891487574,982.333525997681,1265.72067862939,1420.47424328951,1520.90867603796,1614.68213939761,0.71923
"eta.6",919.40010383907,859.341391791879,400.582578603201,451.80564042031,521.507816769918,659.174267654422,1114.08513088503,1396.36115279562,1592.57710599173,1781.32330728024,0.3469
"eta.7",289346.326172558,63480.6370647502,1404.80619269831,2219.06738093283,4066.2770303273,13627.6504773804,277824.845981534,815232.122151118,1363921.93977242,2014432.63656753,0.98688
"eta.8",2629.73717514614,2466.02842131368,1061.22868561685,1218.78692019754,1430.75166351282,1859.80978247526,3219.82158924952,4036.78079201315,4595.16593884796,5134.52817308248,0.98161
