"variable","mean","median","q025","q05","q10","q25","q75","q90","q95","q975","p_thresh"
"beta",0.749546631974686,0.748882866991004,0.651862867848459,0.667503148467189,0.685688202005768,0.715338609007924,0.783342117897123,0.814355464437699,0.833174483837927,0.849218218237536,0
"eta.1",1293.64223244864,1258.74752609269,761.649558874334,827.116654176865,907.044878189622,1058.96513505168,1489.72857227826,1726.28182848808,1881.99412290736,2022.84141433551,0.81501
"eta.2",2082.39947142666,2030.82732443005,1197.7844939684,1310.64866434794,1447.2285249719,1703.38597220167,2405.85800686422,2787.13271743713,3028.72301382996,3253.01621136451,0.99549
"eta.3",527.849710587318,514.314065678707,307.746594606961,334.437386795672,368.505029080526,432.304909710486,608.66757834278,704.536196701396,767.897668644938,823.693292242478,0.00246
"eta.4",1689.22752538716,1640.51495655535,878.143997965853,977.85713784971,1101.27236409128,1339.3177262834,1985.46681808211,2342.08473203209,2574.21794662169,2786.51493011627,0.94258
"eta.5",1134.32091498183,1117.35468024819,794.257033360039,838.451542176238,893.595646339596,993.148646796237,1256.71188284458,1396.48906625424,1489.87203113156,1572.67396046647,0.7375
"eta.6",952.891754417911,906.814471441332,452.221808550521,507.627661676202,577.736597297662,715.345327310142,1138.64809831024,1385.71470973379,1557.91740222971,1715.96866704781,0.38817
"eta.7",1506.16718780697,1398.67026931389,539.598059251116,637.145244042532,765.137057123477,1024.85551769528,1869.30538741761,2379.71042793282,2742.93539440024,3090.62991557091,0.76682
"eta.8",1753.92655661795,1703.4766492236,960.175746259293,1057.87739707987,1181.03203332776,1412.20371925948,2043.69126842921,2391.26566604194,2621.44873762414,2830.5724682174,0.9661
