"variable","mean","median","q025","q05","q10","q25","q75","q90","q95","q975","p_thresh"
"beta",0.680183496376116,0.677850551078152,0.544160179128998,0.564065875629389,0.588005729734167,0.629461313072335,0.728192085661603,0.775296194187401,0.804357746283725,0.831031251739276,0
"eta.1",1184.62061553544,1038.39603200279,481.263134560393,539.242016609687,619.173877593654,784.647172034512,1409.89945050894,1902.56640699621,2307.14543149984,2744.33503293311,0.53498
"eta.2",87427.5964649816,26641.2225981553,2780.35529760841,3749.47086125803,5351.17401473773,10709.4942518304,76200.4796764864,208452.665040002,369656.393979592,588076.044389839,0.99954
"eta.3",296.5227611367,265.663356320768,122.908415218852,139.142739940009,160.514167321733,202.660520647262,353.049115655224,466.570692456184,556.633011701684,652.893353969419,0.00333
"eta.4",32028.096210667,5489.01476728136,507.306163366991,686.240876126128,1000.67640477814,2071.05945250553,18176.4436095329,62424.5472144154,135273.325150807,255311.316578049,0.90009
"eta.5",1022.66351502324,976.545747334203,612.603340109043,658.29331442927,715.872759835229,824.659644287048,1167.25059391358,1382.80124282493,1540.69753966561,1701.97233439172,0.46249
"eta.6",2421.96931981488,1526.40359027351,422.358459307936,506.93820036312,631.037659468298,940.719332832293,2660.82964826899,4686.39708700542,6839.80693424897,9763.04233107143,0.7206
"eta.7",213865.917220989,53742.9897123531,1241.91125969555,2023.53593413353,3775.19594685609,12320.8772342192,216013.725935053,599404.463525899,980741.267668944,1430837.43894692,0.98306
"eta.8",14408.2967567743,5089.42767859712,884.695485942457,1120.54864307778,1497.38797042554,2559.01393703978,11613.2539974777,28019.8098393987,49963.4530117371,86354.9466767704,0.96342
