"variable","mean","sd","median","min","q025","q10","q25","q75","q90","q975","max"
"ATGMV",1634.28080271234,544.882078015283,1546.8882813363,461.04930842929,829.62992557488,1023.36390467564,1241.86304324938,1930.69507866579,2359.73604056744,2928.18242364234,6527.21352777465
"CV",4251.28543111721,1567.1946512304,4022.1063909002,655.455358150966,1889.62394947831,2458.81435655469,3109.21650989012,5137.91570243841,6344.50129361134,7906.14977442118,16267.3330403886
"ESV",589.967001320528,159.065387197734,570.907533215838,182.748846902627,334.817518266591,403.711633568244,476.143966993305,682.909453633147,800.198114433546,950.009649435792,1791.59038480512
"FSV",3035.34151224484,1360.50279531473,2809.85618620527,304.469868632433,1057.23320334588,1504.39946177982,2044.10526175595,3790.70481431518,4849.66710682759,6305.16909961083,12979.0785608949
"ICV",1365.65735829212,284.583026091192,1333.18816866299,603.262859889451,907.949580398649,1031.27832786972,1162.65385927074,1531.87606971403,1742.72228852863,2012.72495544259,3482.29195739632
"MC",1102.99987839159,435.006332608171,1026.3984853664,191.867658610853,480.199005417159,622.853832777299,788.929672113492,1334.89885611227,1684.52289819702,2150.2167401833,4541.02435455081
"MEV",347835.809415548,720998.484961888,76110.8549858854,177.018325206076,1683.80447293931,4870.59364729817,16276.0911164462,334366.247094181,978986.424498524,2417711.09107442,13261456.1363753
"RV",3157.67518403545,1287.32814425655,2953.21393212547,420.809687910458,1266.92058677158,1701.98651092276,2221.83041490579,3869.3713436366,4871.99012659712,6221.9557801981,13268.6304044385
