"variable","mean","sd","median","min","q025","q10","q25","q75","q90","q975","max"
"ATGMV",2102.68444239911,723.970649585651,1963.42227832762,620.467402125999,1121.32343669158,1347.676849457,1602.96982070939,2443.87943014583,3018.77693428949,3904.03024418889,14321.792683797
"CV",2852.48808872675,1306.64417495155,2554.65298783631,645.365629882628,1294.50382176645,1613.3643487144,1986.20750675114,3372.91247179352,4403.08197459213,6117.13758393496,25517.1147735709
"ESV",747.25194355488,169.57851948678,723.754543478438,312.515749127656,483.873771912676,555.107917839876,627.815033105584,840.442952818596,968.404171116602,1142.12799968647,2416.52726255149
"FSV",2754.46594482334,1243.60574432775,2474.09029656313,601.120390117731,1237.24773191384,1552.34880465067,1925.82988678543,3253.14565099449,4268.48458153292,5930.55319593491,22643.4084394538
"ICV",1662.36789650923,357.226590499168,1615.84488051424,665.143431048824,1105.77982995747,1253.26120200072,1411.63065866793,1860.43412297772,2125.05280345284,2494.64926717642,5019.45035443617
"MC",720.689623314238,461.079771453646,603.724435217061,101.895467879484,259.298043900982,339.18909674505,441.502548699266,856.276706947265,1216.64847111795,1881.33929504247,14661.8833995011
"MEV",205.942270402746,3995.80101047413,1.22960707799813e-152,6.31952876039541e-309,5.3086218333757e-301,2.27881638014026e-277,4.72081159194534e-231,2.38130017610869e-73,4.08796325412933e-27,0.0027869544829613,219894.242330013
"RV",2635.14723101574,1196.96144844302,2366.88752926416,561.332521449911,1189.3815718721,1483.53345791273,1837.95495610216,3116.98688219015,4079.99583945906,5668.33112882878,31083.3075538872
